gene,observed_count,null_total_count,null_mean_count_per_perm
PLEKHF2,0,20,0.04
PLEKHG1,0,55,0.11
PLEKHG2,0,90,0.18
PLEKHG3,0,157,0.314
PLEKHG4,0,88,0.176
PLEKHG4B,0,28,0.056
PLEKHG5,0,143,0.286
PLEKHG6,0,38,0.076
PLEKHH1,0,60,0.12
PLCZ1,0,37,0.074
PLCXD3,0,160,0.32
PLCXD2,0,51,0.102
PLCXD1,0,121,0.242
PLAA,0,8,0.016
PLAC1,0,55,0.11
PLAC4,0,145,0.29
PLAC8,0,32,0.064
PLAC8L1,0,100,0.2
PLAC9,0,150,0.3
PLAG1,0,85,0.17
PLAGL1,0,113,0.226
PLAGL2,0,93,0.186
PLAT,0,32,0.064
PLAU,0,43,0.086
PLAUR,0,90,0.18
PLB1,0,170,0.34
PLBD1,0,104,0.208
PLBD2,0,102,0.204
PLCB1,0,172,0.344
PLCB2,0,68,0.136
PLCB3,0,86,0.172
PLCB4,0,53,0.106
PLCD1,0,88,0.176
PLCD3,0,45,0.09
PLCD4,0,153,0.306
PLCE1,0,51,0.102
PLCG1,0,72,0.144
PLCG2,0,119,0.238
PLCH1,0,43,0.086
PLCH2,0,103,0.206
PLCL1,0,94,0.188
PLCL2,0,12,0.024
PIP4K2B,0,32,0.064
PIP4K2A,0,136,0.272
PIP,0,42,0.084
PHOX2A,0,83,0.166
PHKA2,0,37,0.074
PHKB,0,19,0.038
PHKG1,0,103,0.206
PHKG2,0,94,0.188
PHLDA1,0,138,0.276
PHLDA2,0,84,0.168
PHLDA3,0,61,0.122
PHLDB1,0,8,0.016
PHLDB2,0,171,0.342
PHLDB3,0,46,0.092
PHLPP1,0,93,0.186
PHLPP2,0,144,0.288
PHOSPHO1,0,72,0.144
PHOSPHO2,0,32,0.064
PHOX2B,0,58,0.116
PI4KB,0,29,0.058
PHPT1,0,120,0.24
PHRF1,0,73,0.146
PHTF1,0,35,0.07
PHTF2,0,43,0.086
PHYH,0,79,0.158
PHYHD1,0,78,0.156
PHYHIP,0,96,0.192
PHYHIPL,0,31,0.062
PHYKPL,0,66,0.132
PI15,0,81,0.162
PI16,0,26,0.052
PI3,0,169,0.338
PI4K2A,0,64,0.128
PI4K2B,0,28,0.056
PHKA1,0,54,0.108
PHIP,0,17,0.034
PHGDH,0,64,0.128
PHF8,0,47,0.094
PGS1,0,86,0.172
PHACTR1,0,80,0.16
PHACTR2,0,42,0.084
PHACTR3,0,70,0.14
PHACTR4,0,26,0.052
PHAX,0,58,0.116
PHB,0,42,0.084
PHB2,0,63,0.126
PHC1,0,72,0.144
PHC2,0,103,0.206
PHC3,0,46,0.092
PHEX,0,121,0.242
PHF1,0,99,0.198
PHF10,0,47,0.094
PHF11,0,19,0.038
PHF12,0,50,0.1
PHF13,0,59,0.118
PHF14,0,11,0.022
PHF19,0,75,0.15
PHF2,0,42,0.084
PHF20,0,15,0.03
PHF20L1,0,12,0.024
PHF21A,0,35,0.07
PHF21B,0,54,0.108
PHF23,0,25,0.05
PHF3,0,16,0.032
PHF5A,0,60,0.12
PHF6,0,20,0.04
PHF7,0,69,0.138
PI4KA,0,56,0.112
PIANP,0,62,0.124
PINX1,0,54,0.108
PIK3R1,0,27,0.054
PIGZ,0,49,0.098
PIH1D1,0,54,0.108
PIH1D2,0,103,0.206
PIH1D3,0,95,0.19
PIK3AP1,0,93,0.186
PIK3C2A,0,19,0.038
PIK3C2B,0,44,0.088
PIK3C2G,0,66,0.132
PIK3C3,0,16,0.032
PIK3CA,0,31,0.062
PIK3CB,0,11,0.022
PIK3CD,0,76,0.152
PIK3CG,0,30,0.06
PIK3IP1,0,51,0.102
PIK3R2,0,46,0.092
PIAS1,0,53,0.106
PIK3R3,0,113,0.226
PIK3R4,0,6,0.012
PIK3R5,0,40,0.08
PIK3R6,0,115,0.23
PIKFYVE,0,31,0.062
PILRA,0,119,0.238
PIM1,0,62,0.124
PIM2,0,87,0.174
PIM3,0,94,0.188
PIN1,0,46,0.092
PIN1P1,0,54,0.108
PIN4,0,78,0.156
PINK1,0,94,0.188
PINLYP,0,92,0.184
PIGY,0,35,0.07
PIGX,0,78,0.156
PIGW,0,48,0.096
PIGV,0,44,0.088
PIAS2,0,46,0.092
PIAS3,0,100,0.2
PIAS4,0,103,0.206
PIBF1,0,7,0.014
PICALM,0,45,0.09
PICK1,0,93,0.186
PID1,0,143,0.286
PIDD1,0,24,0.048
PIEZO1,0,142,0.284
PIEZO2,0,25,0.05
PIF1,0,26,0.052
PIFO,0,112,0.224
PIGA,0,6,0.012
PIGB,0,21,0.042
PIGC,0,58,0.116
PIGF,0,65,0.13
